order_id,product_id,quantity
1,40,4
2,24,4
3,5,6
3,23,3
4,19,10
4,40,8
4,21,6
5,11,1
5,37,5
5,6,2
5,13,5
5,19,4
6,42,2
6,37,9
6,36,5
6,19,5
6,24,7
7,40,1
7,8,9
7,19,4
7,7,8
8,4,1
8,3,10
8,39,8
8,20,4
8,32,4
9,35,2
9,21,6
9,13,8
9,2,8
10,34,10
10,19,9
11,21,6
11,32,5
11,33,7
11,39,5
12,24,8
12,33,8
12,5,3
13,39,10
13,7,9
13,8,8
13,30,8
14,11,8
15,27,4
15,39,2
15,21,10
16,3,9
16,33,6
16,1,2
16,9,10
17,2,8
17,10,3
18,27,9
18,6,4
19,38,9
19,5,9
19,35,2
20,28,10
20,41,6
20,37,9
20,1,1
21,12,1
21,20,8
21,25,6
21,15,10
21,9,7
22,11,1
23,15,4
23,40,4
23,25,5
23,35,3
24,20,9
24,11,3
24,27,1
24,12,7
25,13,5
25,1,5
25,26,6
25,33,1
26,34,10
26,28,8
26,21,10
27,37,9
27,26,8
27,2,10
27,6,9
28,30,6
28,16,8
29,40,8
29,29,6
30,34,5
30,27,6
30,8,7
31,8,6
31,33,5
32,11,7
32,34,2
32,16,8
32,17,1
32,13,3
33,42,3
33,8,8
33,16,8
34,26,9
34,34,9
35,39,3
35,18,1
35,11,1
36,12,1
36,9,9
36,10,5
37,12,2
37,7,4
38,42,1
38,41,2
38,11,3
38,18,6
38,15,9
39,23,9
40,6,1
40,2,3
40,15,8
41,18,8
41,16,7
42,32,5
42,25,10
42,39,9
42,2,7
42,28,2
43,12,6
43,22,8
43,7,1
43,23,5
44,39,5
44,15,3
44,38,1
44,2,1
44,18,1
45,40,7
45,28,8
45,39,6
45,30,7
45,9,8
46,5,8
46,6,1
47,28,6
47,35,10
47,14,3
48,25,3
48,37,2
48,28,8
48,4,8
48,19,9
49,36,3
49,40,9
49,32,4
49,37,6
50,10,7
50,23,4
51,1,6
51,38,2
52,9,4
53,32,1
53,27,7
53,15,9
53,34,3
54,3,5
54,28,3
54,34,7
54,26,7
54,24,2
55,2,10
55,13,8
55,26,7
55,39,10
56,2,9
56,35,1
56,24,8
57,16,10
57,33,1
57,13,4
57,15,1
58,16,1
58,1,6
58,23,2
58,8,7
58,29,7
59,14,10
59,20,5
59,7,3
59,37,1
60,28,9
61,3,6
61,12,1
61,27,3
61,23,3
61,13,3
62,16,3
62,15,4
63,12,3
63,11,6
64,9,1
64,22,8
65,7,6
65,17,7
66,1,3
66,20,5
66,26,10
67,24,2
67,28,9
67,37,7
68,39,5
69,11,5
70,42,10
70,29,2
70,9,5
71,22,9
72,17,9
72,35,5
72,26,2
72,20,4
73,11,8
74,26,1
74,40,4
74,22,10
75,34,7
76,11,5
76,35,9
76,31,6
76,8,9
76,16,6
77,11,1
77,4,5
77,15,6
77,13,9
77,33,3
78,14,2
78,31,2
78,34,9
78,21,1
78,27,8
79,6,3
79,4,7
79,31,7
79,13,5
80,34,6
80,10,8
80,30,5
81,37,4
81,40,3
82,3,5
82,34,7
82,18,9
82,40,10
82,24,2
83,30,2
83,21,5
83,1,7
84,27,6
84,25,4
84,8,8
84,23,6
84,35,9
85,19,7
85,34,6
